Date,NumberOfAccount,Sales
1/1/2018,13,3758500
2/1/2018,11,3472950
3/1/2018,14,4163400
4/1/2018,17,3989775
5/1/2018,8,4517000
6/1/2018,9,5640800
7/1/2018,2,4566800
8/1/2018,8,4748275
9/1/2018,10,3261000
10/1/2018,4,4788000
11/1/2018,4,5555000
12/1/2018,8,5215000
1/1/2019,5,8535000
2/1/2019,10,8775000
3/1/2019,8,10211000
4/1/2019,6,9811800
5/1/2019,9,12696600
6/1/2019,14,11841316
7/1/2019,11,13743986
8/1/2019,5,14950000
9/1/2019,19,15433000
10/1/2019,18,14055600
11/1/2019,12,13192800
12/1/2019,16,15596400
1/1/2020,17,13292144
2/1/2020,14,13990969
3/1/2020,3,15147075
4/1/2020,12,15109100
5/1/2020,9,16115538
6/1/2020,12,15247158
7/1/2020,3,17079037
8/1/2020,6,17339754
9/1/2020,17,18590531
10/1/2020,26,17075905
11/1/2020,25,16245124
12/1/2020,41,17920816
1/1/2021,48,18049288
2/1/2021,52,19206938
3/1/2021,66,20083149
4/1/2021,61,20406400
5/1/2021,73,19534475
6/1/2021,10,18653000
7/1/2021,57,20414088
8/1/2021,53,19729507
9/1/2021,70,21748061
10/1/2021,69,20096210
11/1/2021,80,19297447
12/1/2021,104,20245231
1/1/2022,84,22743398
2/1/2022,91,23483206
3/1/2022,123,24159149
4/1/2022,80,25677766
5/1/2022,69,26324618
6/1/2022,83,27402674
7/1/2022,65,28673442
8/1/2022,71,29513384
9/1/2022,55,30143633
10/1/2022,27,30433747
11/1/2022,32,31210858
12/1/2022,32,30839200
1/1/2023,37,32281762
2/1/2023,39,33206114
3/1/2023,38,35772950
4/1/2023,43,36957400
5/1/2023,55,37216162
6/1/2023,42,38735388
7/1/2023,38,39851188
8/1/2023,40,40995425
9/1/2023,52,41069093
10/1/2023,55,40426125
11/1/2023,44,39823730
12/1/2023,58,40392925
1/1/2024,76,42783075
2/1/2024,68,43471725
3/1/2024,71,46881150
4/1/2024,80,48347325
5/1/2024,94,50790225
6/1/2024,90,52978575
7/1/2024,91,55346775
8/1/2024,99,58167075
9/1/2024,96,60432675
10/1/2024,119,61043000
11/1/2024,109,59666225
12/1/2024,109,60232275
